0.000000	-9.883451	-8.289406
0.003906	-6.398146	-6.198739
0.007813	-3.820736	-5.290544
0.011719	-3.201161	-3.776170
0.015625	-2.565295	-2.912815
0.019531	-6.214234	-4.405275
0.023438	-11.241250	-7.166420
0.027344	-16.507620	-10.384210
0.031250	-20.891027	-13.708898
0.035156	-21.684301	-13.733164
0.039063	-19.218266	-12.362733
0.042969	-16.450901	-9.276876
0.046875	-14.797154	-6.939820
0.050781	-13.868355	-6.781291
0.054688	-13.514285	-7.030155
0.058594	-14.311738	-8.833542
0.062500	-15.675542	-11.920839
0.066406	-17.683498	-15.054225
0.070313	-21.327923	-19.404373
0.074219	-23.013683	-21.023163
0.078125	-20.115736	-17.003696
0.082031	-12.271249	-9.042968
0.085938	-2.026532	2.288630
0.089844	7.440774	10.523784
0.093750	13.664302	16.801716
0.097656	17.125589	20.179348
0.101563	20.043673	25.581079
0.105469	24.368290	30.991491
0.109375	29.637470	37.758209
0.113281	34.602310	42.197910
0.117188	36.563992	43.608738
0.121094	35.163750	42.834061
0.125000	33.044720	41.506866
0.128906	31.020109	41.243027
0.132813	28.958199	40.499931
0.136719	27.608505	38.416336
0.140625	25.424164	35.483315
0.144531	21.876877	30.860703
0.148438	19.050528	28.315681
0.152344	15.896843	26.199739
0.156250	12.579189	24.056005
0.160156	10.420402	22.055759
0.164063	9.258962	19.303391
0.167969	7.907583	16.778860
0.171875	9.062175	17.158014
0.175781	10.933821	20.505003
0.179688	11.651147	22.525579
0.183594	9.471780	23.152821
0.187500	6.265500	21.812134
0.191406	3.013626	19.948065
0.195313	2.265733	19.227491
0.199219	5.416834	20.506136
0.203125	9.661707	22.480299
0.207031	15.276205	24.671366
0.210938	17.435377	26.557356
0.214844	18.635504	29.511765
0.218750	18.743860	33.397900
0.222656	17.713789	37.967354
0.226563	16.021984	38.033966
0.230469	15.288486	36.386845
0.234375	16.607014	30.459511
0.238281	17.216061	25.505264
0.242188	17.475677	22.779129
0.246094	16.333944	22.436283
0.250000	13.277249	23.525120
0.253906	9.427394	24.124371
0.257813	7.247622	22.704807
0.261719	5.256863	18.279734
0.265625	3.585130	13.890423
0.269531	1.430782	10.157383
0.273438	-2.669383	7.397169
0.277344	-7.068552	3.989892
0.281250	-11.744884	-0.209288
0.285156	-14.137134	-2.939647
0.289063	-12.853653	-3.615879
0.292969	-9.507482	-0.832210
0.296875	-3.545523	4.969757
0.300781	0.226224	10.471931
0.304688	3.207271	13.841741
